test_season,task,model,n,log_loss,brier,auc,accuracy,mae,rmse,bias
2023,home_win,logreg,2238,0.6815958187699748,0.2441673466714606,0.5898409735606939,0.565236818588025,,,
2023,home_win,lgbm,2238,0.6823676502885956,0.24463863096446162,0.5856548034501086,0.565236818588025,,,
2023,home_runs,poisson,2238,,,,,2.4428892195417884,3.1123755038158403,-0.07684963156586466
2023,home_runs,lgbm,2238,,,,,2.4427577776880147,3.103217234935147,-0.07248252889970189
2023,away_runs,poisson,2238,,,,,2.4970983054193776,3.2333853436494704,-0.22481283218319764
2023,away_runs,lgbm,2238,,,,,2.4875247678137793,3.2244645065855306,-0.2682112228572193
2023,home_win,baseline:home_field,2238,0.6924061543458582,0.24962886550154337,0.5,0.5236818588025023,,,
2023,home_win,baseline:record_log5,2238,0.6914394076121229,0.24832841388088173,0.5831126856162234,0.5607685433422699,,,
2023,home_runs,baseline:league_mean,2238,,,,,2.472647541803376,3.132041679244644,-0.10993348399647744
2023,home_runs,baseline:team_form,2238,,,,,2.4746449609172703,3.125742696172649,0.044732407750139654
2023,away_runs,baseline:league_mean,2238,,,,,2.5467757442017276,3.2721670331159576,-0.25457111010023775
2023,away_runs,baseline:team_form,2238,,,,,2.5369006910501386,3.2335635779750067,-0.010355142036195655
2024,home_win,logreg,2241,0.681880708027572,0.24442879822332866,0.5791843021462958,0.5542168674698795,,,
2024,home_win,lgbm,2241,0.6805880650262452,0.24382100076477117,0.5835805895482921,0.5649263721552878,,,
2024,home_runs,poisson,2241,,,,,2.3382214344395233,2.972664735272419,0.05353987809805448
2024,home_runs,lgbm,2241,,,,,2.3360820092553416,2.966237834851693,0.05478288462308989
2024,away_runs,poisson,2241,,,,,2.4831569634805963,3.138506853667196,0.04339783606786641
2024,away_runs,lgbm,2241,,,,,2.4685412882969016,3.1285589838764727,0.050354932074982074
2024,home_win,baseline:home_field,2241,0.6916985149454837,0.24927593319360625,0.5,0.5274431057563588,,,
2024,home_win,baseline:record_log5,2241,0.693708387095088,0.2494218152323007,0.5732641335487139,0.5510932619366354,,,
2024,home_runs,baseline:league_mean,2241,,,,,2.386445331551092,3.0004612462841385,0.1280939182349925
2024,home_runs,baseline:team_form,2241,,,,,2.361078315061621,3.0029614534551796,0.02701534121943824
2024,away_runs,baseline:league_mean,2241,,,,,2.5306704746689572,3.1782042561414854,0.07265356612189217
2024,away_runs,baseline:team_form,2241,,,,,2.4914882506098963,3.155233669841256,0.03561935871084886
2025,home_win,logreg,2247,0.6813833189213284,0.24437594140218874,0.5693733668982219,0.5469514908767246,,,
2025,home_win,lgbm,2247,0.6811338080551909,0.24416010741402672,0.5741085654196674,0.5473965287049399,,,
2025,home_runs,poisson,2247,,,,,2.405160982799434,3.0840121762586445,-0.010007774567952842
2025,home_runs,lgbm,2247,,,,,2.401992217273097,3.084016905666606,0.015564379677544553
2025,away_runs,poisson,2247,,,,,2.6160722860053567,3.322614290551443,0.057407705380748415
2025,away_runs,lgbm,2247,,,,,2.6211172301043395,3.331955633746771,0.03849048858913413
2025,home_win,baseline:home_field,2247,0.6904476791263332,0.24865137864180137,0.5,0.5371606586559857,,,
2025,home_win,baseline:record_log5,2247,0.6966602253711168,0.2513717761217966,0.5524054394238735,0.5433911882510013,,,
2025,home_runs,baseline:league_mean,2247,,,,,2.4314395777619326,3.1074388660992125,0.016800265414547693
2025,home_runs,baseline:team_form,2247,,,,,2.4254222333485145,3.1078191029662077,-0.005476855405845337
2025,away_runs,baseline:league_mean,2247,,,,,2.6657052730864685,3.373671749783707,0.022932208467885126
2025,away_runs,baseline:team_form,2247,,,,,2.6239541421370145,3.342974543259392,0.04028589288464079
2026,home_win,logreg,1388,0.6908650708438792,0.2487134518610893,0.5561719833564494,0.5461095100864554,,,
2026,home_win,lgbm,1388,0.68895356183904,0.24787619643084902,0.5554130008504763,0.5360230547550432,,,
2026,home_runs,poisson,1388,,,,,2.475605209430466,3.185968301055998,-0.080194861468738
2026,home_runs,lgbm,1388,,,,,2.469082456248656,3.1898698985851133,-0.0860782771167518
2026,away_runs,poisson,1388,,,,,2.558383001035412,3.2734504290314645,-0.06121319715720746
2026,away_runs,lgbm,1388,,,,,2.5666340376777708,3.271433191653575,-0.07240392913258763
2026,home_win,baseline:home_field,1388,0.6927382087812499,0.2497950480552311,0.5,0.5194524495677233,,,
2026,home_win,baseline:record_log5,1388,0.7154619734906054,0.2593675264840283,0.5311484341047229,0.5288184438040345,,,
2026,home_runs,baseline:league_mean,1388,,,,,2.490095112745253,3.1989022779381218,-0.04879015740893304
2026,home_runs,baseline:team_form,1388,,,,,2.4948456983208076,3.2098772500784976,-0.03167964515897175
2026,away_runs,baseline:league_mean,1388,,,,,2.6114452199039935,3.307279446160919,-0.0839044678144114
2026,away_runs,baseline:team_form,1388,,,,,2.613664974348258,3.3074017398474354,-0.01465151290332164
