test_season,bin,n,pred,actual,gap
2023,2,3,0.2947396135028326,0.3333333333333333,-0.038593719830500695
2023,3,209,0.3679947216318211,0.45454545454545453,-0.08655073291363341
2023,4,599,0.45602143476573764,0.43906510851419034,0.016956326251547305
2023,5,820,0.551033744634588,0.5329268292682927,0.018106915366295273
2023,6,538,0.6438407320047345,0.6133828996282528,0.030457832376481697
2023,7,69,0.7208832576891155,0.6666666666666666,0.05421659102244891
2024,3,158,0.3739100860244075,0.37341772151898733,0.0004923645054201731
2024,4,738,0.4555534031262505,0.470189701897019,-0.014636298770768497
2024,5,867,0.5473425774446152,0.5570934256055363,-0.009750848160921088
2024,6,413,0.6394097702014173,0.585956416464891,0.053453353736526266
2024,7,65,0.7193802540724111,0.7846153846153846,-0.06523513054297347
2025,3,149,0.3754547942767381,0.40268456375838924,-0.027229769481651123
2025,4,712,0.4562068180032251,0.5042134831460674,-0.0480066651428423
2025,5,901,0.5479571531582343,0.5205327413984462,0.02742441175978816
2025,6,426,0.6399077718773596,0.6408450704225352,-0.0009372985451756577
2025,7,59,0.7183470524788929,0.7796610169491526,-0.06131396447025972
2026,3,32,0.3775071961504848,0.375,0.0025071961504847806
2026,4,461,0.4645676667864957,0.4837310195227766,-0.019163352736280892
2026,5,675,0.5466883363920602,0.5318518518518518,0.014836484540208361
2026,6,211,0.6353393827004855,0.5781990521327014,0.057140330567784114
2026,7,9,0.7165876301659413,0.5555555555555556,0.1610320746103857
